Transaction ID,Transaction Price,datetime_column
6453,21.56,2018-03-01
11404,21.56,2018-03-01
13631,21.57,2018-03-01
16277,21.98,2018-03-01
17187,28.39,2018-03-01
10715,28.39,2018-03-01
17239,29.15,2018-03-01
10407,31.91,2018-03-01
10141,31.91,2018-03-01
17726,31.91,2018-03-01
12592,31.91,2018-03-01
17628,71.37,2018-03-01
8209,95.49,2018-03-01
10319,95.49,2018-03-01
9581,95.49,2018-03-01
300,18.32,2018-04-01
1798,18.32,2018-04-01
3669,18.32,2018-04-01
4057,18.32,2018-04-01
4142,18.32,2018-04-01
6651,18.32,2018-04-01
11390,18.32,2018-04-01
13719,3.02,2018-04-01
16255,5.03,2018-04-01
4841,5.53,2018-04-01
31,7.54,2018-04-01
976,7.54,2018-04-01
2528,7.54,2018-04-01
6909,7.54,2018-04-01
7047,7.54,2018-04-01
9762,7.54,2018-04-01
11462,7.54,2018-04-01
3247,7.54,2018-04-01
3366,7.54,2018-04-01
16346,7.54,2018-04-01
11841,7.64,2018-04-01
3634,8.46,2018-04-01
7580,8.46,2018-04-01
12296,8.46,2018-04-01
13600,8.46,2018-04-01
487,9.17,2018-04-01
14162,10.07,2018-04-01
95,11.49,2018-04-01
904,12.29,2018-04-01
4122,12.29,2018-04-01
6817,12.5,2018-04-01
2113,12.5,2018-04-01
6887,12.5,2018-04-01
3067,12.5,2018-04-01
13694,12.5,2018-04-01
13721,12.5,2018-04-01
14572,12.5,2018-04-01
16452,12.5,2018-04-01
644,12.5,2018-04-01
1897,12.5,2018-04-01
4730,12.5,2018-04-01
6672,12.5,2018-04-01
7717,12.5,2018-04-01
9142,12.5,2018-04-01
2670,12.9,2018-04-01
2108,12.94,2018-04-01
5504,12.94,2018-04-01
12058,12.94,2018-04-01
16295,12.94,2018-04-01
13985,13.66,2018-04-01
8572,13.66,2018-04-01
15232,14.06,2018-04-01
17453,14.29,2018-04-01
17774,14.29,2018-04-01
11769,14.29,2018-04-01
17456,14.29,2018-04-01
16424,14.29,2018-04-01
10240,14.29,2018-04-01
17633,14.29,2018-04-01
17972,14.29,2018-04-01
10155,14.29,2018-04-01
10258,14.29,2018-04-01
8366,14.29,2018-04-01
14229,14.52,2018-04-01
5218,14.52,2018-04-01
5568,14.52,2018-04-01
13088,14.52,2018-04-01
16055,14.52,2018-04-01
304,14.52,2018-04-01
5903,14.52,2018-04-01
8933,14.52,2018-04-01
9429,14.52,2018-04-01
11395,14.52,2018-04-01
13442,14.52,2018-04-01
15832,14.52,2018-04-01
7117,14.62,2018-04-01
14594,14.62,2018-04-01
3830,14.62,2018-04-01
11613,14.62,2018-04-01
13339,14.62,2018-04-01
16033,14.62,2018-04-01
410,14.62,2018-04-01
10482,14.62,2018-04-01
1509,14.88,2018-04-01
2941,14.88,2018-04-01
12773,14.88,2018-04-01
7224,15.01,2018-04-01
1811,15.01,2018-04-01
3365,15.01,2018-04-01
4670,15.01,2018-04-01
11211,15.01,2018-04-01
12851,15.01,2018-04-01
77,15.01,2018-04-01
542,15.01,2018-04-01
853,15.01,2018-04-01
2579,15.01,2018-04-01
3691,15.01,2018-04-01
4297,15.01,2018-04-01
7926,15.01,2018-04-01
8136,15.01,2018-04-01
10795,15.01,2018-04-01
10552,15.03,2018-04-01
2753,15.08,2018-04-01
16446,15.08,2018-04-01
378,15.08,2018-04-01
10654,15.08,2018-04-01
6353,15.08,2018-04-01
8229,15.16,2018-04-01
2439,15.16,2018-04-01
9744,15.16,2018-04-01
14459,15.16,2018-04-01
1773,15.16,2018-04-01
8476,15.16,2018-04-01
8324,15.16,2018-04-01
17537,15.25,2018-04-01
1302,15.43,2018-04-01
3591,15.45,2018-04-01
17076,15.45,2018-04-01
5967,15.57,2018-04-01
13970,15.57,2018-04-01
2955,16.11,2018-04-01
449,16.11,2018-04-01
2485,16.11,2018-04-01
3251,16.11,2018-04-01
5105,16.11,2018-04-01
5200,16.11,2018-04-01
6504,16.11,2018-04-01
7229,16.11,2018-04-01
7405,16.11,2018-04-01
8233,16.11,2018-04-01
8537,16.11,2018-04-01
9310,16.11,2018-04-01
9466,16.11,2018-04-01
10858,16.11,2018-04-01
12383,16.11,2018-04-01
12657,16.11,2018-04-01
13076,16.11,2018-04-01
13089,16.11,2018-04-01
14238,16.11,2018-04-01
14492,16.11,2018-04-01
14674,16.11,2018-04-01
15845,16.11,2018-04-01
16292,16.11,2018-04-01
969,16.11,2018-04-01
998,16.11,2018-04-01
1389,16.11,2018-04-01
1591,16.11,2018-04-01
3157,16.11,2018-04-01
3274,16.11,2018-04-01
3344,16.11,2018-04-01
4351,16.11,2018-04-01
4653,16.11,2018-04-01
5192,16.11,2018-04-01
5351,16.11,2018-04-01
5556,16.11,2018-04-01
6331,16.11,2018-04-01
8938,16.11,2018-04-01
9549,16.11,2018-04-01
9704,16.11,2018-04-01
10174,16.11,2018-04-01
10860,16.11,2018-04-01
11655,16.11,2018-04-01
12154,16.11,2018-04-01
13376,16.11,2018-04-01
13383,16.11,2018-04-01
13522,16.11,2018-04-01
14528,16.11,2018-04-01
15449,16.11,2018-04-01
16619,16.11,2018-04-01
17055,16.11,2018-04-01
10970,16.11,2018-04-01
6748,16.38,2018-04-01
6900,16.48,2018-04-01
17392,16.48,2018-04-01
17053,16.5,2018-04-01
17385,16.58,2018-04-01
14782,17.0,2018-04-01
5244,17.0,2018-04-01
8740,17.0,2018-04-01
9285,17.0,2018-04-01
13967,17.19,2018-04-01
7948,17.39,2018-04-01
4938,17.61,2018-04-01
11929,18.32,2018-04-01
16758,18.32,2018-04-01
15034,19.08,2018-04-01
14061,19.26,2018-04-01
2203,19.26,2018-04-01
3996,19.26,2018-04-01
4762,19.26,2018-04-01
12512,19.26,2018-04-01
12655,19.26,2018-04-01
14063,19.26,2018-04-01
2972,19.26,2018-04-01
7661,19.38,2018-04-01
12451,19.38,2018-04-01
7353,19.43,2018-04-01
11891,19.55,2018-04-01
12855,19.55,2018-04-01
1919,19.55,2018-04-01
8831,19.55,2018-04-01
9662,19.55,2018-04-01
15039,19.55,2018-04-01
15364,19.55,2018-04-01
16222,19.55,2018-04-01
6870,19.55,2018-04-01
15142,19.88,2018-04-01
7370,19.99,2018-04-01
14458,19.99,2018-04-01
3145,19.99,2018-04-01
11971,20.03,2018-04-01
14438,20.03,2018-04-01
5599,20.03,2018-04-01
8931,20.03,2018-04-01
11577,20.03,2018-04-01
12942,20.03,2018-04-01
13648,20.03,2018-04-01
7005,21.98,2018-04-01
16947,23.52,2018-04-01
90,25.54,2018-04-01
12047,25.54,2018-04-01
14028,25.54,2018-04-01
15258,26.14,2018-04-01
5864,29.75,2018-04-01
12598,29.75,2018-04-01
1583,29.75,2018-04-01
17483,29.75,2018-04-01
18005,31.47,2018-04-01
8375,31.47,2018-04-01
15881,57.01,2018-04-01
3271,18.32,2018-05-01
6778,18.32,2018-05-01
14831,18.32,2018-05-01
7187,2.51,2018-05-01
9456,2.51,2018-05-01
1170,7.54,2018-05-01
3962,7.54,2018-05-01
4412,7.54,2018-05-01
4589,7.54,2018-05-01
6883,7.54,2018-05-01
7743,7.54,2018-05-01
9880,7.54,2018-05-01
11437,7.54,2018-05-01
14809,7.54,2018-05-01
15458,7.54,2018-05-01
11540,7.64,2018-05-01
3874,7.71,2018-05-01
5199,7.71,2018-05-01
8487,7.71,2018-05-01
